cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica,n_licitacoes,valor_homologado_total,n_dispensa,valor_hom_dispensa,ano_ultima_licitacao,pct_dispensa,alerta_dispensa
2505600,Diamante,6416,77.2,🟡 Risco Médio,6,91.0515,0.254723,0.01,3,1.0,0.0,0.0209894255507835,1.0,0.8476,0.3,0.2996,15.0,29.666,15.0,10.0,2.996,4.5,0.0,0.0,77.16199999999999,77.16199999999999,53.0,1.0,False,False,False,False,True,42.0,17864569.03,3.0,9459672.4,2026.0,0.5295,True
2503803,Caldas Brandão,5942,77.0,🟡 Risco Médio,6,81.719,0.431782,0.05,2,1.0,0.15,0.0170876679247527,0.5859,1.0,0.5,0.2255,8.7885,35.0,15.0,8.5,2.255,7.5,0.0,0.0,77.0435,77.0435,53.0,1.0,False,False,False,False,True,21.0,2077201.3,2.0,345849.85,2026.0,0.1665,False
2503555,Cacimbas,7513,76.7,🟡 Risco Médio,6,87.4825,0.824913,0.04,1,1.0,1.0,0.0175024854626811,0.8741,1.0,0.75,0.2328,13.1115,35.0,15.0,0.0,2.328,11.25,0.0,0.0,76.6895,76.6895,53.0,1.0,False,False,False,False,True,35.0,3934873.0100000002,1.0,13750.0,2026.0,0.0035,False
2506608,Ibiara,5713,76.5,🟡 Risco Médio,6,86.2705,0.138031,0.61,0,1.0,0.25,0.0241077921344743,0.8135,0.6608,1.0,0.3678,12.2025,23.128,15.0,7.5,3.678,15.0,0.0,0.0,76.5085,76.5085,53.0,1.0,False,False,False,False,True,7.0,865265.42,0.0,0.0,2025.0,0.0,False
2506251,Gado Bravo,8398,76.3,🟡 Risco Médio,6,105.2685,0.069064,0.02,0,1.0,0.0,0.0214723587173511,0.991,0.5227,1.0,0.3097,14.865,18.2945,15.0,10.0,3.097,15.0,0.0,0.0,76.2565,76.2565,53.0,1.0,False,False,False,False,True,56.0,24530531.15,0.0,0.0,2026.0,0.0,False
2500403,Alagoa Nova,21823,76.2,🟡 Risco Médio,6,94.9795,0.191516,0.02,3,1.0,0.0,0.030536870316977,1.0,0.7464,0.3,0.5569,15.0,26.124,15.0,10.0,5.569,4.5,0.0,0.0,76.193,76.193,53.0,1.0,False,False,False,False,True,124.0,19649107.21,53.0,11710859.85,2026.0,0.596,True
2509156,Marizópolis,7001,76.2,🟡 Risco Médio,6,92.153,0.586662,0.79,6,1.0,0.2,0.0219454053664016,1.0,1.0,0.0,0.3198,15.0,35.0,15.0,8.0,3.198,0.0,0.0,0.0,76.198,76.198,53.0,1.0,False,False,False,False,True,57.0,968717.24,10.0,39428.39,2026.0,0.0407,False
2512606,Quixaba,1803,76.0,🟡 Risco Médio,6,98.1595,0.06896,0.05,0,1.0,0.05,0.0221224592338916,1.0,0.5224,1.0,0.3236,15.0,18.284,15.0,9.5,3.236,15.0,0.0,0.0,76.02,76.02,53.0,1.0,False,False,False,False,True,31.0,4802354.48,0.0,0.0,2026.0,0.0,False
2511400,Picuí,18862,76.0,🟡 Risco Médio,6,89.1125,0.270029,0.34,2,1.0,1.0,0.0516830729980723,0.9556,0.872,0.5,0.8672,14.334,30.52,15.0,0.0,8.672,7.5,0.0,0.0,76.026,76.026,53.0,1.0,False,False,False,False,True,157.0,39826237.910000004,74.0,10873987.63,2026.0,0.273,False
2512754,Riachão do Bacamarte,4911,75.9,🟡 Risco Médio,6,88.558,0.323849,0.01,3,1.0,0.3,0.0151804260954471,0.9279,0.9582,0.3,0.1944,13.9185,33.537,15.0,7.0,1.944,4.5,0.0,0.0,75.8995,75.8995,53.0,1.0,False,False,False,False,True,79.0,11747335.7,26.0,144952.81,2026.0,0.0123,False
