cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica
2509057,Marcação,9537,57.4,🟡 Risco Médio,6,104.6655,0.004862,0.18,1,1.0,1.0,0.0224148058433157,1.0,0.5122,0.75,0.3299,20.0,15.366,15.0,0.0,3.299,3.75,0.0,0.0,57.415,57.415,33.0,1.0,False,False,False,False,True
2504108,Carrapateira,2365,57.3,🟡 Risco Médio,6,101.9525,0.03417,2.0,6,1.0,1.0,0.0284623378716384,1.0,0.5854,0.0,0.472,20.0,17.562,15.0,0.0,4.72,0.0,0.0,0.0,57.282,57.282,33.0,1.0,False,False,False,False,True
2508208,Lagoa de Dentro,8123,57.3,🟡 Risco Médio,6,89.203,0.039388,1.76,4,1.0,1.0,0.0283363674083386,0.9602,0.5985,0.1,0.4689,19.204,17.955,15.0,0.0,4.689,0.5,0.0,0.0,57.348,57.348,33.0,1.0,False,False,False,False,True
2509107,Mari,22170,57.3,🟡 Risco Médio,6,105.354,-0.048794,0.4,1,1.0,1.0,0.0360914990005034,0.9882,0.4072,0.75,0.6596,19.764,12.216,15.0,0.0,6.596,3.75,0.0,0.0,57.32599999999999,57.32599999999999,33.0,1.0,False,False,False,False,True
2503001,Caaporã,21942,57.2,🟡 Risco Médio,6,104.437,0.00882,0.01,5,1.0,1.0,0.035726280729711,1.0,0.5221,0.0,0.6532,20.0,15.663,15.0,0.0,6.532,0.0,0.0,0.0,57.19499999999999,57.19499999999999,33.0,1.0,False,False,False,False,True
2501153,Areia de Baraúnas,2027,56.4,🟡 Risco Médio,6,86.9095,0.011672,0.39,3,1.0,1.0,0.0386520556654503,0.8455,0.5292,0.3,0.7094,16.91,15.876,15.0,0.0,7.094,1.5,0.0,0.0,56.38,56.38,33.0,1.0,False,False,False,False,True
2507903,Juripiranga,10255,56.3,🟡 Risco Médio,6,95.0785,0.194913,0.64,2,1.0,1.0,0.0248403413402847,1.0,0.9873,0.5,0.4465,20.0,14.3623,15.0,0.0,4.465,2.5,0.0,0.0,56.327299999999994,56.327299999999994,398.0,0.4849,False,False,True,False,True
2509602,Monte Horebe,4429,55.9,🟡 Risco Médio,6,103.717,-0.021291,1.01,3,1.0,1.0,0.0324185368608798,1.0,0.4583,0.3,0.569,20.0,13.749,15.0,0.0,5.69,1.5,0.0,0.0,55.939,55.939,33.0,1.0,False,False,False,False,True
2500106,Água Branca,9580,55.7,🟡 Risco Médio,6,92.014,-0.06167,0.69,0,1.0,1.0,0.0261509484951896,1.0,0.3843,1.0,0.4158,20.0,11.529,15.0,0.0,4.158,5.0,0.0,0.0,55.687,55.687,33.0,1.0,False,False,False,False,True
2513901,São Bento,33845,55.4,🟡 Risco Médio,6,119.136,0.074603,0.3,5,1.0,1.0,0.0602373193778315,0.5288,0.6865,0.0,0.9271,10.576,20.595,15.0,0.0,9.271,0.0,0.0,0.0,55.442,55.442,33.0,1.0,False,False,False,False,True
